comparison_name,n_pairs,safe_to_unsafe_count,unsafe_to_safe_count,decision_changed_count,flip_rate_safe_to_unsafe,flip_rate_unsafe_to_safe,decision_change_rate,delta_beta_mean,delta_beta_median,delta_pf_mean,pf_ratio_median,beta_ref_median,beta_comp_median,decision_change_rate_wilson95_low,decision_change_rate_wilson95_high,flip_rate_safe_to_unsafe_wilson95_low,flip_rate_safe_to_unsafe_wilson95_high,cov_scenario_id,load_cov_scenario,model_error_cov_scenario
group_point_to_group_conformal,1280,117,0,117,0.09140625,0.0,0.09140625,-0.1260312955615567,0.0,0.0016472656250000003,1.0,3.4808903002570286,3.4808903002570286,0.07681753429033039,0.10844012130771324,0.07681753429033039,0.10844012130771324,load0.05_model0.05,0.05,0.05
group_point_to_group_conformal,1280,439,0,439,0.34296875,0.0,0.34296875,-0.42615300687090957,-0.30606171280784,0.003708203125,501.00000000000006,3.4808903002570286,3.1748285874491886,0.3174679057585839,0.3694093194330161,0.3174679057585839,0.3694093194330161,load0.05_model0.10,0.05,0.1
group_point_to_group_conformal,1280,952,21,973,0.74375,0.01640625,0.76015625,-0.7065649818461838,-0.6474018661098473,0.013644921874999999,10.98003992015968,3.1748285874491886,2.49788268886069,0.7360083383472831,0.7827473034994692,0.7191293337774384,0.7669119883132124,load0.05_model0.15,0.05,0.15
group_point_to_group_conformal,1280,387,0,387,0.30234375,0.0,0.30234375,-0.4067069609244399,-0.30606171280784,0.004317968750000001,501.00000000000006,3.4808903002570286,3.1748285874491886,0.27780566350438535,0.32806467467210626,0.27780566350438535,0.32806467467210626,load0.10_model0.05,0.1,0.05
group_point_to_group_conformal,1280,971,3,974,0.75859375,0.00234375,0.7609375,-0.7326876611579431,-0.7045374557273227,0.008412109375,1501.0,3.4808903002570286,2.7215959791792064,0.7368132494328368,0.783500217164206,0.7343988359793969,0.7812411563667743,load0.10_model0.10,0.1,0.1
group_point_to_group_conformal,1280,126,0,126,0.0984375,0.0,0.0984375,-0.5319347214208435,-0.47220695223226494,0.014606249999999998,4.1821659873204995,2.776352844529706,2.3172566519435334,0.08329919294566471,0.11597888540499388,0.08329919294566471,0.11597888540499388,load0.10_model0.15,0.1,0.15
group_point_to_group_conformal,1280,1037,12,1049,0.81015625,0.009375,0.81953125,-0.6763306185335425,-0.6399271641824935,0.008387499999999999,15.727787182877002,3.1748285874491886,2.5936883142851914,0.7975168166659841,0.8396335062028499,0.7877557955175849,0.8307006303477624,load0.15_model0.05,0.15,0.05
group_point_to_group_conformal,1280,263,1,264,0.20546875,0.00078125,0.20625,-0.5745228940980412,-0.5075825010917592,0.014359374999999999,4.996003996003997,2.840963136074535,2.35564147162687,0.18497896193317723,0.2292789319575769,0.18423102080537218,0.2284690483350914,load0.15_model0.10,0.15,0.1
group_point_to_group_conformal,1280,0,0,0,0.0,0.0,0.0,-0.4071672665190098,-0.36356810533156336,0.01866875,2.5855589766525404,2.3978469570716605,2.048819583050233,0.0,0.002992159814049623,0.0,0.002992159814049623,load0.15_model0.15,0.15,0.15
group_point_to_group_empirical,1280,733,0,733,0.57265625,0.0,0.57265625,-0.5905279311420958,-0.7045374557273227,0.00475703125,2501.0000000000005,3.4808903002570286,2.776352844529706,0.5453779600736847,0.5994997417033362,0.5453779600736847,0.5994997417033362,load0.05_model0.05,0.05,0.05
group_point_to_group_empirical,1280,808,0,808,0.63125,0.0,0.63125,-0.6791040104383492,-0.7045374557273227,0.00570625,2501.0000000000005,3.4808903002570286,2.776352844529706,0.6044631593150774,0.6572513987337344,0.6044631593150774,0.6572513987337344,load0.05_model0.10,0.05,0.1
group_point_to_group_empirical,1280,956,17,973,0.746875,0.01328125,0.76015625,-0.6660596571229256,-0.62564573664601,0.0094953125,9.982035928143713,3.1748285874491886,2.49788268886069,0.7360083383472831,0.7827473034994692,0.7223408980333514,0.7699317230584615,load0.05_model0.15,0.05,0.15
group_point_to_group_empirical,1280,780,0,780,0.609375,0.0,0.609375,-0.6748420946702816,-0.7045374557273227,0.005757812500000001,2501.0000000000005,3.4808903002570286,2.776352844529706,0.5823578060137393,0.6357376590269372,0.5823578060137393,0.6357376590269372,load0.10_model0.05,0.1,0.05
group_point_to_group_empirical,1280,1071,2,1073,0.83671875,0.0015625,0.83828125,-0.8244033533065064,-0.8491850032605468,0.00899296875,2751.0000000000005,3.4808903002570286,2.5590868251168475,0.8171032691301343,0.8574348477456726,0.8154675826009002,0.8559548847743256,load0.10_model0.10,0.1,0.1
group_point_to_group_empirical,1280,126,1,127,0.0984375,0.00078125,0.09921875,-0.4694460743011323,-0.43477011474475846,0.00996640625,3.748625687156421,2.776352844529706,2.336018931635869,0.08402098410311015,0.11681491899783897,0.08329919294566471,0.11597888540499388,load0.10_model0.15,0.1,0.15
group_point_to_group_empirical,1280,1047,10,1057,0.81796875,0.0078125,0.82578125,-0.6910473632911552,-0.6769458985884986,0.007642968750000001,15.97005988023952,3.1748285874491886,2.5273022667337974,0.8040357597872301,0.8455771610839282,0.7958885544658265,0.8381461189024264,load0.15_model0.05,0.15,0.05
group_point_to_group_empirical,1280,261,4,265,0.20390625,0.003125,0.20703125,-0.5146470034818289,-0.4684774030467165,0.010596093749999999,4.398640543782486,2.840963136074535,2.376215282213367,0.18572702839511626,0.2300886902459284,0.18273551666617896,0.22684890297370355,load0.15_model0.10,0.15,0.1
group_point_to_group_empirical,1280,0,0,0,0.0,0.0,0.0,-0.2802976289943538,-0.2514786958324624,0.0103953125,1.9998257879882528,2.3978469570716605,2.163734161402234,0.0,0.002992159814049623,0.0,0.002992159814049623,load0.15_model0.15,0.15,0.15
random_point_to_random_empirical,1280,683,0,683,0.53359375,0.0,0.53359375,-0.6459461218493979,-0.6399271641824935,0.00709609375,2001.0000000000002,3.4808903002570286,2.840963136074535,0.506204529611689,0.5607819346508045,0.506204529611689,0.5607819346508045,load0.05_model0.05,0.05,0.05
random_point_to_random_empirical,1280,916,0,916,0.715625,0.0,0.715625,-0.8389669043319344,-0.8491850032605468,0.009301171875,4001.0000000000005,3.4808903002570286,2.631705296996482,0.6902950364782361,0.7396645946019549,0.6902950364782361,0.7396645946019549,load0.05_model0.10,0.05,0.1
random_point_to_random_empirical,1280,950,11,961,0.7421875,0.00859375,0.75078125,-0.7176779192998822,-0.7043503632723587,0.01050234375,11.818802102656779,3.1748285874491886,2.444812323305113,0.7263576302915898,0.7737041145516758,0.7175241521216836,0.765401520468386,load0.05_model0.15,0.05,0.15
random_point_to_random_empirical,1280,925,0,925,0.72265625,0.0,0.72265625,-0.8320383426292322,-0.8872019859718372,0.008215625,4501.0,3.4808903002570286,2.5936883142851914,0.6974921683721877,0.7464878854606183,0.6974921683721877,0.7464878854606183,load0.10_model0.05,0.1,0.05
random_point_to_random_empirical,1280,1035,0,1035,0.80859375,0.0,0.80859375,-0.7846142540270702,-0.7769816303775281,0.007173828125000001,2001.0000000000002,3.4808903002570286,2.5936883142851914,0.7861309159359833,0.829209860428783,0.7861309159359833,0.829209860428783,load0.10_model0.10,0.1,0.1
random_point_to_random_empirical,1280,134,1,135,0.1046875,0.00078125,0.10546875,-0.5073239994925429,-0.4753713966231441,0.01132578125,4.153785451502836,2.776352844529706,2.3172566519435334,0.08980617551167216,0.12349232559160134,0.08908199868088088,0.12265867767210209,load0.10_model0.15,0.1,0.15
random_point_to_random_empirical,1280,1070,9,1079,0.8359375,0.00703125,0.84296875,-0.7707653412054692,-0.7592943210778222,0.010229687500000001,21.39965364415731,3.1748285874491886,2.444812323305113,0.8220143464435816,0.8618707189339687,0.8146499860829287,0.8552146565420066,load0.15_model0.05,0.15,0.05
random_point_to_random_empirical,1280,287,1,288,0.22421875,0.00078125,0.225,-0.5872212786344775,-0.5503645779105668,0.013172265625000002,5.496627809971137,2.840963136074535,2.299276288788036,0.2029660082155631,0.2486796796821642,0.2022151937140602,0.24787266943337652,load0.15_model0.10,0.15,0.1
random_point_to_random_empirical,1280,0,0,0,0.0,0.0,0.0,-0.3404318057593351,-0.30674406277459587,0.013788281250000001,2.285530638480217,2.3978469570716605,2.11438077152756,0.0,0.002992159814049623,0.0,0.002992159814049623,load0.15_model0.15,0.15,0.15
