split_protocol,seed,residual_q05,residual_q50,residual_q95,residual_abs_q90,residual_abs_q95,n_predictions
group_aware_round3,11,-6.977536832778317,0.2656701820612213,6.306076797475395,6.676132643068683,8.438100600710635,207
group_aware_round3,23,-5.8331502575786125,0.13755080766265948,7.52460848121902,6.595544415515789,7.817155502543574,212
group_aware_round3,37,-5.615121635276418,0.12901976356221923,5.030232214366521,5.432478767846074,7.396980427029252,206
group_aware_round3,51,-4.845293821291535,0.07570070410035434,5.388413603652495,5.1618919618704435,6.849666683200799,205
group_aware_round3,73,-7.109993869241858,-0.5544339246467036,6.164916994264666,6.350280774268825,8.283194964929672,206
random_split_round1,11,-6.037781921091133,0.018145938312457588,6.198354147588365,6.196671869590389,7.637368298443371,206
random_split_round1,23,-6.765000126891114,0.10562908320392594,7.777152599570644,7.475246450078174,9.10720632403493,206
random_split_round1,37,-5.042867798730217,-0.12999370739347427,7.958355203185567,6.862593353049412,8.966068753196474,206
random_split_round1,51,-7.652169715334771,-0.178328018093735,4.8365891125246705,6.011098935311804,9.481275234667665,206
random_split_round1,73,-6.599872868738238,-0.15395957931533033,5.6417956814487855,5.918114818526789,7.273423047085217,206
random_split_round1,89,-6.800820857714901,0.1299788006912781,6.46306680731697,6.790557400089561,8.967999473313347,206
random_split_round1,101,-5.970435905347406,-0.124813056129911,5.479474768346821,5.874071985656045,7.962423170410293,206
random_split_round1,131,-6.502753460279794,-0.13475768851379755,5.8400963330021405,6.47467457963733,8.005004511767726,206
random_split_round1,151,-6.91234299371499,-0.06835232607779496,7.855559177527706,7.775027807702841,10.075649964007441,206
random_split_round1,173,-6.752045017025271,0.17711777957351238,8.042588252226334,7.244583969694435,9.273358168294866,206
